C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4
-177,438.08,1.361,1.25,1.266,1.213,1.716
-176,437.93,1.364,1.257,1.272,1.22,1.708
-175,437.74,1.363,1.265,1.278,1.223,1.688
-174,437.51,1.361,1.279,1.281,1.221,1.665
-173,437.23,1.355,1.282,1.283,1.222,1.631
-172,436.91,1.349,1.289,1.289,1.227,1.593
-171,436.54,1.344,1.295,1.297,1.236,1.549
-170,436.14,1.338,1.31,1.305,1.243,1.495
-169,435.69,1.327,1.316,1.309,1.247,1.435
-168,435.2,1.317,1.325,1.312,1.252,1.378
-167,434.66,1.307,1.333,1.317,1.263,1.316
-166,434.09,1.298,1.345,1.325,1.274,1.249
-165,433.47,1.285,1.356,1.329,1.278,1.176
-164,432.8,1.264,1.364,1.332,1.275,1.085
-163,432.1,1.247,1.369,1.338,1.279,1.002
-162,431.35,1.24,1.372,1.348,1.289,0.95
-161,430.55,1.243,1.378,1.358,1.297,0.937
-160,429.72,1.252,1.384,1.364,1.302,0.956
-159,428.84,1.269,1.389,1.367,1.304,1.015
-158,427.92,1.295,1.388,1.372,1.308,1.11
-157,426.96,1.331,1.394,1.376,1.315,1.238
-156,425.95,1.368,1.401,1.381,1.322,1.368
-155,424.9,1.401,1.408,1.388,1.324,1.483
-154,423.8,1.428,1.41,1.394,1.33,1.578
-153,422.67,1.45,1.418,1.398,1.338,1.648
-152,421.49,1.473,1.423,1.404,1.349,1.715
-151,420.26,1.492,1.429,1.41,1.357,1.771
-150,419,1.505,1.434,1.412,1.362,1.813
-149,417.69,1.514,1.436,1.421,1.366,1.835
-148,416.33,1.523,1.438,1.424,1.374,1.858
-147,414.94,1.533,1.445,1.427,1.389,1.871
-146,413.5,1.54,1.451,1.431,1.396,1.882
-145,412.02,1.539,1.446,1.436,1.401,1.875
-144,410.49,1.535,1.452,1.441,1.403,1.844
-143,408.92,1.528,1.456,1.447,1.412,1.796
-142,407.31,1.528,1.465,1.458,1.425,1.764
-141,405.66,1.529,1.469,1.467,1.434,1.745
-140,403.96,1.529,1.47,1.472,1.445,1.729
-139,402.22,1.533,1.476,1.482,1.446,1.73
-138,400.43,1.537,1.484,1.491,1.454,1.722
-137,398.61,1.536,1.495,1.495,1.469,1.686
-136,396.74,1.536,1.497,1.5,1.484,1.664
-135,394.83,1.527,1.499,1.508,1.497,1.605
-134,392.87,1.514,1.507,1.516,1.497,1.534
-133,390.88,1.506,1.519,1.528,1.503,1.473
