C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4,,,,,
-121,363.66,1.71,1.711,1.672,1.689,1.769,,,,,
-120,361.13,1.713,1.725,1.696,1.694,1.735,,,,,
-119,358.56,1.702,1.749,1.717,1.696,1.648,,,,,
-118,355.95,1.728,1.768,1.737,1.714,1.694,,,,,
-117,353.3,1.765,1.776,1.751,1.779,1.756,,,,,
-116,350.61,1.802,1.794,1.764,1.804,1.843,,,,,
-115,347.89,1.838,1.814,1.781,1.81,1.947,,,,,
-114,345.12,1.861,1.832,1.801,1.813,1.998,,,,,
-113,342.32,1.881,1.85,1.818,1.839,2.015,,,,,
-112,339.49,1.904,1.871,1.839,1.884,2.024,,,,,
-111,336.61,1.937,1.889,1.864,1.905,2.09,,,,,
-110,333.71,1.973,1.909,1.895,1.912,2.176,,,,,
-109,330.76,2.009,1.936,1.926,1.941,2.232,,,,,
-108,327.79,2.019,1.946,1.96,1.98,2.191,,,,,
-107,324.77,2.017,1.981,1.96,1.999,2.129,,,,,
-106,321.73,2.022,2.013,2.002,2.031,2.041,,,,,
-105,318.65,2.057,2.049,2.105,2.062,2.011,,,,,
-104,315.54,2.067,2.063,2.084,2.085,2.036,,,,,
-103,312.4,2.092,2.097,2.079,2.103,2.089,,,,,
-102,309.23,2.134,2.129,2.1,2.139,2.167,,,,,
-101,306.03,2.158,2.152,2.13,2.167,2.182,,,,,
-100,302.8,2.167,2.171,2.177,2.184,2.138,,,,,
-99,299.54,2.181,2.21,2.227,2.221,2.067,,,,,
-98,296.26,2.201,2.249,2.264,2.26,2.029,,,,,
-97,292.95,2.234,2.298,2.287,2.305,2.044,,,,,
-96,289.61,2.265,2.336,2.313,2.343,2.068,,,,,
-95,286.24,2.299,2.374,2.335,2.389,2.097,,,,,
-94,282.86,2.333,2.405,2.38,2.421,2.124,,,,,
-93,279.45,2.363,2.438,2.424,2.445,2.144,,,,,
-92,276.02,2.398,2.473,2.474,2.481,2.163,,,,,
-91,272.57,2.43,2.511,2.504,2.525,2.178,,,,,
-90,269.09,2.468,2.56,2.536,2.565,2.213,,,,,
-89,265.6,2.512,2.605,2.572,2.618,2.255,,,,,
-88,262.09,2.569,2.656,2.63,2.683,2.307,,,,,
-87,258.57,2.622,2.707,2.691,2.738,2.351,,,,,
-86,255.03,2.664,2.757,2.741,2.782,2.375,,,,,
-85,251.47,2.704,2.806,2.787,2.823,2.399,,,,,
-84,247.9,2.741,2.855,2.826,2.863,2.422,,,,,
-83,244.32,2.783,2.903,2.872,2.914,2.442,,,,,
-82,240.73,2.835,2.953,2.931,2.981,2.477,,,,,
-81,237.12,2.895,3.019,2.996,3.056,2.51,,,,,
-80,233.51,2.957,3.089,3.062,3.123,2.553,,,,,
-79,229.9,3.026,3.155,3.134,3.18,2.637,,,,,
-78,226.27,3.107,3.225,3.202,3.245,2.757,,,,,
-77,222.65,3.186,3.284,3.265,3.308,2.887,,,,,
-76,219.02,3.264,3.351,3.324,3.369,3.011,,,,,
-75,215.38,3.337,3.419,3.389,3.435,3.104,,,,,
-74,211.75,3.419,3.494,3.476,3.516,3.191,,,,,
-73,208.12,3.518,3.579,3.562,3.613,3.317,,,,,
-72,204.49,3.629,3.679,3.654,3.706,3.478,,,,,
-71,200.86,3.735,3.775,3.745,3.798,3.622,,,,,
-70,197.24,3.832,3.864,3.833,3.88,3.753,,,,,
-69,193.62,3.923,3.945,3.919,3.96,3.868,,,,,
-68,190.02,4.024,4.036,4.017,4.052,3.993,,,,,
-67,186.42,4.14,4.144,4.133,4.167,4.116,,,,,
-66,182.83,4.26,4.263,4.252,4.295,4.231,,,,,
-65,179.26,4.377,4.384,4.373,4.412,4.338,,,,,
-64,175.7,4.489,4.497,4.482,4.517,4.463,,,,,
-63,172.16,4.596,4.602,4.584,4.615,4.582,,,,,
-62,168.63,4.711,4.714,4.718,4.738,4.675,,,,,
-61,165.12,4.84,4.848,4.86,4.887,4.767,,,,,
-60,161.63,4.984,5.003,5.005,5.045,4.883,,,,,
-59,158.16,5.13,5.162,5.151,5.19,5.016,,,,,
-58,154.72,5.267,5.297,5.29,5.319,5.162,,,,,
-57,151.3,5.41,5.435,5.439,5.455,5.31,,,,,
-56,147.9,5.588,5.602,5.624,5.64,5.486,,,,,
-55,144.53,5.777,5.795,5.824,5.83,5.66,,,,,
-54,141.19,5.954,5.982,6.008,6.016,5.812,,,,,
-53,137.89,6.119,6.159,6.178,6.18,5.959,,,,,
-52,134.61,6.301,6.342,6.373,6.364,6.127,,,,,
-51,131.37,6.52,6.555,6.583,6.591,6.352,,,,,
-50,128.16,6.754,6.785,6.822,6.814,6.598,,,,,
-49,124.99,6.986,7.013,7.041,7.032,6.855,,,,,
-48,121.85,7.224,7.242,7.277,7.255,7.122,,,,,
-47,118.76,7.475,7.491,7.534,7.503,7.372,,,,,
-46,115.7,7.732,7.75,7.808,7.766,7.603,,,,,
-45,112.69,8.009,8.032,8.1,8.044,7.859,,,,,
-44,109.72,8.303,8.338,8.404,8.342,8.13,,,,,
-43,106.8,8.57,8.627,8.681,8.61,8.363,,,,,
-42,103.92,8.85,8.9,8.985,8.893,8.621,,,,,
-41,101.09,9.206,9.25,9.374,9.251,8.949,,,,,
-40,98.3,9.569,9.632,9.732,9.633,9.28,,,,,
-39,95.57,9.894,9.972,10.054,9.946,9.605,,,,,
-38,92.89,10.268,10.323,10.426,10.307,10.015,,,,,
-37,90.26,10.69,10.741,10.847,10.738,10.435,,,,,
-36,87.69,11.097,11.15,11.253,11.14,10.844,,,,,
-35,85.17,11.573,11.609,11.726,11.601,11.356,,,,,
-34,82.71,12.016,12.072,12.135,12.053,11.806,,,,,
-33,80.31,12.445,12.487,12.575,12.449,12.27,,,,,
-32,77.96,13.021,13.023,13.152,13.026,12.883,,,,,
-31,75.67,13.532,13.551,13.633,13.543,13.401,,,,,
-30,73.45,14.051,14.06,14.162,14.054,13.929,,,,,
-29,71.29,14.614,14.647,14.71,14.646,14.455,,,,,
-28,69.19,15.15,15.171,15.263,15.184,14.984,,,,,
-27,67.15,15.819,15.819,15.941,15.881,15.637,,,,,
-26,65.18,16.418,16.451,16.542,16.484,16.196,,,,,
-25,63.28,17.044,17.048,17.162,17.111,16.854,,,,,
-24,61.44,17.724,17.714,17.835,17.801,17.546,,,,,
-23,59.67,18.434,18.4,18.543,18.498,18.295,,,,,
-22,57.97,19.182,19.12,19.278,19.242,19.088,,,,,
-21,56.34,19.89,19.845,19.971,19.924,19.819,,,,,
-20,54.78,20.589,20.501,20.665,20.618,20.574,,,,,
-19,53.29,21.412,21.311,21.476,21.451,21.411,,,,,
-18,51.87,22.131,22.026,22.192,22.166,22.141,,,,,
-17,50.53,22.921,22.834,22.984,22.965,22.9,,,,,
-16,49.26,23.582,23.513,23.631,23.628,23.556,,,,,
-15,48.06,24.376,24.278,24.45,24.455,24.322,,,,,
-14,46.93,25.121,25.052,25.195,25.223,25.015,,,,,
-13,45.89,25.837,25.788,25.93,25.963,25.666,,,,,
-12,44.91,26.53,26.5,26.616,26.677,26.326,,,,,
-11,44.02,27.177,27.134,27.265,27.355,26.954,,,,,
-10,43.2,27.925,27.875,28.003,28.147,27.676,,,,,
-9,42.45,28.544,28.534,28.617,28.802,28.221,,,,,
-8,41.79,29.174,29.177,29.237,29.446,28.837,,,,,
-7,41.2,29.735,29.739,29.765,30.06,29.378,,,,,
-6,40.69,30.351,30.351,30.387,30.729,29.937,,,,,
-5,40.26,30.958,31.004,30.978,31.358,30.491,,,,,
-4,39.9,31.509,31.591,31.531,31.967,30.948,,,,,
-3,39.63,32.141,32.233,32.165,32.634,31.532,,,,,
-2,39.43,32.807,32.907,32.841,33.38,32.099,,,,,
-1,39.31,33.577,33.701,33.617,34.21,32.782,,,,,
0,39.27,34.433,34.549,34.474,35.148,33.56,,,,,
1,39.31,35.407,35.492,35.457,36.216,34.462,,,,,
2,39.43,36.526,36.552,36.588,37.445,35.519,,,,,
3,39.63,37.831,37.77,37.917,38.859,36.78,,,,,
4,39.9,39.3,39.116,39.416,40.421,38.248,,,,,
5,40.26,40.899,40.573,41.049,42.099,39.873,,,,,
6,40.69,42.62,42.113,42.823,43.897,41.648,,,,,
7,41.2,44.429,43.742,44.696,45.77,43.508,,,,,
8,41.79,46.274,45.409,46.62,47.665,45.402,,,,,
9,42.45,48.122,47.078,48.541,49.573,47.295,,,,,
10,43.2,49.962,48.767,50.459,51.448,49.173,,,,,
11,44.02,51.754,50.425,52.344,53.265,50.982,,,,,
12,44.91,53.454,52.008,54.135,54.989,52.684,,,,,
13,45.89,55.051,53.505,55.823,56.603,54.273,,,,,
14,46.93,56.503,54.901,57.352,58.042,55.715,,,,,
15,48.06,57.804,56.146,58.702,59.356,57.013,,,,,
16,49.26,58.91,57.219,59.841,60.453,58.126,,,,,
17,50.53,59.833,58.135,60.775,61.343,59.08,,,,,
18,51.87,60.523,58.824,61.469,61.99,59.809,,,,,
19,53.29,60.993,59.314,61.918,62.422,60.317,,,,,
20,54.78,61.244,59.605,62.106,62.626,60.64,,,,,
21,56.34,61.254,59.715,62.059,62.554,60.687,,,,,
22,57.97,61.055,59.591,61.823,62.278,60.53,,,,,
23,59.67,60.607,59.26,61.337,61.712,60.117,,,,,
24,61.44,59.993,58.765,60.68,60.996,59.53,,,,,
25,63.28,59.152,58.106,59.745,60.029,58.729,,,,,
26,65.18,58.177,57.26,58.744,58.929,57.776,,,,,
27,67.15,57.045,56.267,57.554,57.689,56.668,,,,,
28,69.19,55.796,55.176,56.283,56.32,55.406,,,,,
29,71.29,54.474,54.008,54.886,54.91,54.093,,,,,
30,73.45,53.066,52.739,53.446,53.413,52.667,,,,,
31,75.67,51.616,51.371,51.941,51.897,51.254,,,,,
32,77.96,50.125,50.021,50.406,50.338,49.737,,,,,
33,80.31,48.637,48.601,48.903,48.808,48.235,,,,,
34,82.71,47.12,47.167,47.338,47.273,46.7,,,,,
35,85.17,45.635,45.745,45.843,45.745,45.207,,,,,
36,87.69,44.16,44.331,44.328,44.261,43.72,,,,,
37,90.26,42.727,42.941,42.892,42.806,42.268,,,,,
38,92.89,41.317,41.536,41.455,41.402,40.877,,,,,
39,95.57,39.937,40.217,40.037,39.997,39.497,,,,,
40,98.3,38.625,38.887,38.731,38.66,38.221,,,,,
41,101.09,37.333,37.615,37.406,37.353,36.96,,,,,
42,103.92,36.109,36.399,36.159,36.094,35.783,,,,,
43,106.8,34.913,35.193,34.935,34.897,34.628,,,,,
44,109.72,33.764,34.062,33.772,33.706,33.514,,,,,
45,112.69,32.664,32.945,32.652,32.591,32.468,,,,,
46,115.7,31.596,31.898,31.569,31.485,31.431,,,,,
47,118.76,30.584,30.865,30.556,30.451,30.462,,,,,
48,121.85,29.587,29.877,29.53,29.458,29.482,,,,,
49,124.99,28.647,28.944,28.603,28.471,28.57,,,,,
50,128.16,27.744,28.017,27.692,27.561,27.704,,,,,
51,131.37,26.872,27.164,26.822,26.662,26.842,,,,,
52,134.61,26.042,26.326,25.984,25.826,26.033,,,,,
53,137.89,25.225,25.522,25.167,25.006,25.203,,,,,
54,141.19,24.458,24.769,24.41,24.225,24.43,,,,,
55,144.53,23.706,24.009,23.675,23.485,23.653,,,,,
56,147.9,22.993,23.315,22.992,22.762,22.905,,,,,
57,151.3,22.309,22.611,22.321,22.096,22.209,,,,,
58,154.72,21.646,21.959,21.667,21.435,21.522,,,,,
59,158.16,21.033,21.337,21.066,20.824,20.907,,,,,
60,161.63,20.435,20.721,20.474,20.233,20.313,,,,,
61,165.12,19.875,20.156,19.913,19.657,19.773,,,,,
62,168.63,19.346,19.584,19.378,19.123,19.298,,,,,
63,172.16,18.84,19.059,18.852,18.605,18.844,,,,,
64,175.7,18.361,18.554,18.363,18.097,18.43,,,,,
65,179.26,17.895,18.055,17.88,17.608,18.036,,,,,
66,182.83,17.452,17.604,17.417,17.151,17.637,,,,,
67,186.42,17.015,17.138,16.981,16.708,17.232,,,,,
68,190.02,16.588,16.708,16.56,16.287,16.799,,,,,
69,193.62,16.168,16.309,16.148,15.872,16.341,,,,,
70,197.24,15.764,15.913,15.76,15.476,15.905,,,,,
71,200.86,15.376,15.517,15.385,15.11,15.491,,,,,
72,204.49,15.001,15.163,15.023,14.746,15.071,,,,,
73,208.12,14.639,14.817,14.671,14.401,14.668,,,,,
74,211.75,14.298,14.477,14.338,14.069,14.306,,,,,
